club,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Djurgarden,0.0,33536.87,35242.73,36809.8,36235.46,35682.36,35075.57,34135.68,34217.43,31322.93,31168.12,30674.72,31126.61,31630.36,33281.17,34001.8,33519.73,33564.86,34570.81,35064.93,35453.42,34840.32,35533.4,35212.14,34138.01,7330.3
Doncaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16996.12,34956.38,35629.16,33800.62,17724.0,16801.510000000002,18112.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dordrecht,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15137.83,18589.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dortmund,19884.3,41846.19,44060.19,43006.58,40876.32,40971.68,40476.090000000004,39720.86,39339.8,40908.29,42547.57,44274.36,45488.409999999996,46593.78,45348.08,43363.08,44640.44,44435.53,42548.33,43847.76,44287.07,44057.35,43346.43,44107.42,44646.76,8913.55
Doxa Dramas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10318.96,16441.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dresden,0.0,0.0,0.0,0.0,15338.85,34327.1,18374.94,0.0,0.0,0.0,0.0,15665.12,35073.9,34735.73,18618.25,0.0,17107.72,35048.78,33895.63,34059.36,18154.28,16974.239999999998,18086.6,0.0,0.0,0.0
Duisburg,18474.25,36827.1,36767.7,35661.46,35461.71,36672.2,36445.270000000004,37100.48,36758.37,37152.05,36999.99,36635.71,35412.26,19336.28,0.0,16390.45,17881.879999999997,16632.43,33657.9,17905.32,0.0,0.0,0.0,0.0,0.0,0.0
Dunarea Calarasi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15440.3,16205.36,0.0,0.0,0.0,0.0,0.0,0.0
Dundee,16724.47,33444.28,32816.76,33500.37,32643.14,16925.73,0.0,0.0,0.0,0.0,0.0,0.0,14276.91,15337.51,14968.16,29932.56,29811.87,28430.63,27686.89,14928.6,0.0,14532.14,15742.33,14555.86,30497.79,6433.59
Dundee United,15555.34,31515.17,31916.41,31503.46,32549.25,31416.46,30293.56,31650.04,33947.63,34092.68,33574.74,33281.05,33366.43,32492.79,32723.62,31000.54,15577.89,0.0,0.0,0.0,14484.8,30028.28,30652.27,15992.48,13703.39,6577.22
Dunfermline,14561.45,31817.02,32806.11,33354.44,33217.73,30958.68,30049.97,29942.66,16720.89,0.0,0.0,13323.42,15216.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dunkerque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16003.279999999999,31674.03,17183.49,15373.43,32481.37,7151.46
Dynamo Makhachkala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14451.29,6598.7
Dynamo Moskva,17948.7,34869.35,34218.9,34556.53,34595.92,35110.42,35172.56,36070.36,37105.28,37949.14,37524.44,38906.32,39160.48,39911.21,40117.56,40374.73,20572.95,18029.08,37037.01,36402.73,35945.22,36151.47,36877.65,36092.87,36720.37,7764.700000000001
Egaleo,0.0,15594.47,32258.39,32907.12,34436.72,34591.57,33121.21,17188.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eibar,18896.19,37878.58,38192.88,37899.29,38419.11,38430.01,19920.39,18377.9,36679.8,19003.85,0.0,0.0,0.0,17765.55,38560.07,39488.07,40253.76,40771.63,41122.78,41056.05,40339.67,38945.62,38747.65,37703.54,37471.62,7526.67
Ein Frankfurt,19674.61,38398.840000000004,38433.6,37969.2,37131.81,37757.79,38321.07,38535.18,38870.79,38355.56,39541.22,39198.3,39511.56,40760.69,40094.88,40082.17,39509.14,39569.12,39773.61,42045.74,40969.05,42262.71,41822.81,41647.39,41065.21,8638.16
Ein Trier,0.0,0.0,17667.85,35148.12,34565.76,18730.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elazigspor,0.0,0.0,15488.82,32076.86,17800.079999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16182.89,34292.72,18646.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elche,18445.61,36897.02,38572.69,38101.71,37533.54,36960.84,36839.43,38371.26,37527.38,37176.12,37440.92,38428.11,38221.58,39083.86,39741.57,39774.37,38389.75,19814.12,17643.96,35906.92,37323.29,38066.06,38550.89,37381.08,36503.64,7786.61
Eldense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17161.41,34574.58,7050.82
Elfsborg,17379.7,34484.38,33175.81,33118.85,32846.36,32742.81,33110.02,34316.79,35051.44,35498.48,34833.7,33864.15,34013.49,34604.79,34466.29,34713.17,34466.79,33903.0,32829.51,32175.54,33014.77,33936.53,34313.1,35054.46,35007.7,7503.299999999999
Elversberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16544.39,33923.81,7154.47
Empoli,18617.920000000002,37563.2,38666.36,38733.54,37684.53,38118.28,38451.94,39154.07,38136.659999999996,36642.62,35818.34,34274.74,33221.24,35598.37,36161.86,37937.979999999996,37976.0,36469.85,37731.18,36848.61,35544.26,37151.17,37171.78,38471.229999999996,39182.55,8130.45
Enkoeping,0.0,0.0,0.0,30639.51,1242.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erciyesspor,0.0,0.0,0.0,0.0,0.0,15450.93,33238.1,33744.82,18845.78,0.0,0.0,0.0,0.0,16428.42,33994.64,18308.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erfurt,0.0,0.0,0.0,0.0,15420.869999999999,18112.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ergotelis,0.0,0.0,0.0,0.0,13820.94,16245.17,14077.24,31992.46,32886.43,32935.94,32905.94,33581.83,17899.02,15747.92,32033.05,16891.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erzgebirge Aue,0.0,0.0,0.0,16576.41,34550.37,35627.04,35262.42,34851.14,18349.01,0.0,17413.28,35725.26,34669.53,34999.48,34259.32,18295.05,16756.71,33792.49,33189.229999999996,34301.53,35154.03,34575.4,17676.09,0.0,0.0,0.0
Erzurum BB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16376.92,17673.76,16121.89,17209.63,0.0,0.0,0.0,0.0
Erzurumspor,16095.74,16824.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Esbjerg,1306.13,16296.51,33580.68,34211.46,34896.59,33655.34,33545.0,33780.55,33736.13,34654.81,34734.81,18415.54,16169.79,33870.3,34913.12,33494.27,31773.86,17233.23,15887.61,32155.61,21893.99,0.0,0.0,0.0,0.0,0.0
Eskilstuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29073.24,1223.24,29672.36,1213.24,0.0,0.0,0.0,0.0,0.0
Eskisehirspor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16792.42,34393.33,35361.3,35716.47,36217.0,37130.520000000004,36389.26,34771.76,17910.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Espanol,21381.24,42633.02,41701.41,41483.1,41801.01,42196.95,41227.58,43290.34,42000.15,40924.270000000004,40357.93,40295.86,40515.89,40786.94,40724.54,41358.55,40599.86,41182.57,41290.64,40974.53,39362.81,39572.27,39383.7,38803.2,38182.97,7946.17
Essen,0.0,0.0,0.0,0.0,15290.84,18232.64,15207.77,18074.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Est Amadora,17166.579999999998,17727.21,0.0,16399.35,17175.59,15423.21,34912.81,35886.58,36181.01,19515.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16805.18,33381.4,6971.53
Estoril,0.0,0.0,0.0,0.0,15633.89,18445.28,0.0,0.0,0.0,0.0,0.0,0.0,17612.86,36779.49,37694.52,36423.85,35770.39,34626.03,17997.25,0.0,0.0,16858.420000000002,34337.49,33667.95,33706.81,7207.05
Ethnikos Asteras,16248.27,32813.05,17562.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eupen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16050.9,17404.989999999998,0.0,0.0,0.0,0.0,15930.44,32580.15,32254.07,32278.510000000002,32851.58,33749.59,31992.61,32350.71,17451.59,0.0
Everton,20100.21,39767.36,39364.65,40097.99,39828.93,40573.8,40530.79,42546.87,43983.64,43202.92,42259.65,42194.26,42356.84,42959.64,43676.02,41383.4,41047.56,41722.35,40771.96,41675.67,41786.35,42461.94,40836.85,40603.0,40928.35,8605.27
Evian Thonon Gaillard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17640.87,36473.44,37926.31,37531.840000000004,37084.38,36511.1,18496.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excelsior,0.0,0.0,16394.31,17728.42,0.0,0.0,14820.07,32288.89,17065.03,0.0,16125.49,32637.46,17542.92,0.0,15510.41,31863.0,31584.55,32150.57,32274.03,17260.7,0.0,0.0,16619.18,32934.17,17622.2,0.0
Extensiv Craiova,1094.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Extremadura,19143.79,38022.99,20029.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17587.54,35304.92,24817.23,0.0,0.0,0.0,0.0,0.0
Eyupspor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14945.779999999999,7046.9
FC Brussels,0.0,0.0,0.0,0.0,14473.83,31625.59,33202.71,32931.91,16732.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC Emmen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15374.94,31997.46,32863.72,17360.48,16471.35,17742.4,0.0,0.0
FC Khimki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33901.78,34694.81,34143.02,1346.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12206.19,33938.31,33405.02,17426.21,14375.86,6670.0
FC Kobenhavn,17507.78,36299.98,37989.92,36988.82,36162.22,35510.14,37053.67,38930.17,37933.04,39151.14,39731.64,40325.26,37851.01,37264.979999999996,36547.94,35933.45,37757.72,39233.91,37074.87,37977.09,37467.11,37405.94,38215.86,38800.45,39251.63,7931.15
FC Koln,19124.010000000002,39608.42,38698.44,38055.82,36596.53,37723.33,37024.0,35841.28,36930.29,37636.18,38714.8,39590.590000000004,38393.81,38343.51,38991.79,39653.4,40279.49,40180.02,37693.020000000004,37804.46,38775.81,38664.11,40033.1,39634.58,38450.01,7801.34
FC Krasnodar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36125.39,36596.71,37802.520000000004,38622.98,40612.520000000004,40928.27,40093.28,40098.77,39866.520000000004,38536.88,36548.79,36469.69,36744.59,37711.55,7975.950000000001
FC Moskva,0.0,31780.41,32012.13,1315.08,32823.08,35879.86,37057.31,37442.43,37735.25,38093.0,1583.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fakel Voronezh,15744.74,31623.68,1308.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15835.16,32422.829999999998,33244.51,6837.65
Falkenbergs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30390.88,30628.809999999998,28939.57,1121.45,0.0,29722.67,29115.82,1202.27,0.0,0.0,0.0,0.0
Falkirk,0.0,0.0,0.0,0.0,0.0,13855.1,30017.940000000002,31789.75,33430.46,31720.559999999998,16338.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Famalicao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17148.47,34766.229999999996,35175.35,35388.11,35802.36,35743.979999999996,7488.68
Farense,16755.57,33605.16,17698.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8130.360000000001,18051.59,0.0,16902.33,33871.93,7033.3
Farul,1286.26,14119.37,28670.88,29518.8,31229.98,33552.41,35524.55,34134.61,32898.82,17124.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Feirense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16365.84,18990.739999999998,0.0,0.0,0.0,16275.54,33760.25,33281.75,17418.16,0.0,0.0,0.0,0.0,0.0,0.0
Fenerbahce,18912.55,38778.79,38907.24,37894.98,40231.0,40937.17,40586.02,40199.04,41107.57,39752.840000000004,39645.12,40281.04,40213.72,40416.32,40709.87,40447.340000000004,39861.54,39205.74,39019.63,36495.31,35841.4,36551.05,37934.97,39932.65,40769.1,8444.54
Feralpisalo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16149.369999999999,17766.03,0.0
Fermana,1428.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ferrol,16112.64,36968.12,37311.21,19775.73,17038.92,36449.83,19548.989999999998,18403.72,19790.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17357.14,34994.22,7021.389999999999
Feyenoord,20101.86,39449.26,40747.85,41673.11,40900.62,39986.9,39913.950000000004,37953.84,36857.53,35949.979999999996,36943.93,36950.28,38872.31,38211.8,38270.99,37957.46,37427.88,38820.92,37648.99,37856.36,38598.12,38664.03,41337.21,41994.63,41983.42,8740.06
Fiorentina,21382.94,41040.76,20743.11,17586.420000000002,36309.27,38769.2,41632.08,42728.11,42822.45,42211.69,40868.87,39441.9,38844.020000000004,40667.81,41382.92,42028.39,41144.31,40386.95,40493.27,38955.61,38905.62,39200.1,39542.05,41390.11,42350.1,8855.880000000001
Foggia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16420.51,34066.43,18024.99,0.0,0.0,0.0,0.0,0.0,0.0
For Sittard,17422.329999999998,33652.43,17834.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15442.97,31725.9,31946.59,33211.73,33953.45,33873.47,33568.92,7161.12
Foresta Suceava,12744.64,15562.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fortuna Dusseldorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17152.8,36065.55,37691.51,38944.09,38487.8,36968.59,35457.37,34347.53,34718.99,35376.54,38096.37,38173.52,37160.05,36228.35,36938.02,37953.99,7632.57
Fortuna Koeln,1450.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frankfurt FSV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16451.56,33508.38,34664.86,34678.01,34778.31,36181.15,35120.46,34489.11,18127.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fredrikstad,0.0,0.0,0.0,0.0,31339.0,32760.61,33053.24,33171.75,34113.74,33729.7,1372.21,30998.53,30895.670000000002,1293.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31694.89,6849.32
Freiburg,19491.27,40729.3,39312.77,38621.47,37673.49,36049.88,35723.54,36915.23,36746.26,37670.22,38401.35,39332.520000000004,39819.7,41260.91,39789.15,39478.87,39544.9,39202.59,38198.78,38823.909999999996,39667.89,40694.62,41622.78,41778.11,40592.37,8329.53
Frem,0.0,0.0,0.0,15232.24,16379.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frosinone,0.0,0.0,0.0,0.0,0.0,0.0,16421.73,35464.9,35330.96,35202.33,34079.76,17483.13,0.0,0.0,16335.99,34689.38,35215.32,35740.18,35976.53,35026.15,35181.17,34485.94,35025.66,37912.61,37835.45,7410.81
Fuenlabrada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17563.0,36093.07,36242.44,18716.04,0.0,0.0,0.0
Fulham,18557.2,39254.88,39621.15,39715.27,40371.55,40305.57,40432.22,39970.3,40020.86,41339.3,41341.18,41284.58,40912.3,39838.38,37628.77,34704.16,34373.020000000004,36695.64,38538.05,37972.56,37841.94,39270.32,39803.9,41493.99,41438.89,8821.45
GAIS,15907.43,1323.38,0.0,0.0,0.0,0.0,30642.26,30728.0,31593.75,31436.33,31688.74,31268.59,30903.39,1208.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29225.97,6625.58
GAK,17567.61,36484.93,36625.16,36287.85,37426.26,38753.51,35801.59,18146.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14134.220000000001,6363.4
Galatasaray,21176.02,41251.9,40756.59,40651.05,39912.18,40090.05,40127.85,39283.94,40103.1,39701.15,38789.63,36188.92,39376.53,40834.91,40467.34,39602.96,37753.7,37817.15,38736.96,38033.59,37330.49,37488.29,36239.3,39709.18,41029.69,8502.6
Gallipoli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16812.11,17833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gaz Metan,12307.810000000001,14472.85,0.0,0.0,0.0,0.0,0.0,0.0,15607.23,31372.29,32580.78,33813.24,32945.76,33853.15,33660.13,17643.600000000002,16338.57,33201.7,31638.28,32642.170000000002,32988.23,30714.22,15046.49,0.0,0.0,0.0
Gazelec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16737.22,17721.76,16569.32,35271.33,35770.97,34611.33,32553.4,17130.81,0.0,0.0,0.0,0.0,0.0,0.0
Gaziantepspor,18229.99,36926.06,35904.02,36791.07,38080.03,36218.97,34535.42,34709.56,35401.409999999996,35506.46,35093.71,35973.09,36647.64,36610.49,35635.37,34410.99,33598.07,17661.57,0.0,16168.029999999999,33259.73,34020.07,33865.45,32098.41,32429.329999999998,6867.27
Geel,1337.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gefle,0.0,0.0,0.0,0.0,0.0,30573.98,30576.69,30706.01,31547.65,31665.2,30748.2,30140.239999999998,30416.48,31442.62,31619.629999999997,31615.57,30408.87,1272.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genclerbirligi,17933.97,34446.57,34693.18,37486.17,37993.8,36876.51,36505.66,35739.69,35116.53,34878.33,34895.8,34579.97,35908.770000000004,36260.75,36362.63,35501.19,35156.3,35308.25,18821.23,15977.85,32155.42,16997.85,0.0,0.0,0.0,0.0
Genk,17936.12,35600.07,37819.51,37795.19,37527.72,37514.12,37105.32,37338.21,35158.04,34644.22,36786.88,38317.79,38413.33,38115.090000000004,35079.93,35898.51,36719.84,38567.09,38232.3,39085.909999999996,37272.76,37038.83,36949.75,38881.47,38331.22,8181.82
Genoa,18886.53,37143.51,36474.64,35532.62,35208.61,20174.8,16611.84,37879.3,39251.37,41162.12,40158.31,38697.47,37403.08,37018.41,37977.4,39601.85,39121.01,37201.43,37657.97,36927.06,37085.86,38084.62,36806.9,38044.590000000004,40007.47,8396.94
Gent,18133.33,36764.92,36098.33,35923.92,35368.05,35322.63,36040.94,36718.72,35507.37,36140.41,37799.01,37129.18,37472.14,35442.94,35028.0,37587.85,38528.85,37895.45,37513.01,37439.16,38143.28,36542.31,37198.01,38589.15,38841.24,7857.17
Getafe,18001.56,19484.55,18073.42,37113.22,39359.58,40735.56,42166.75,42934.94,42635.78,41127.39,41361.71,40022.15,40913.75,40747.1,40531.21,39906.19,39384.46,39342.29,41086.76,42283.37,42469.92,39809.84,39789.72,39511.97,39404.59,8209.53
Giannina,13847.35,16971.86,15843.630000000001,17254.68,0.0,0.0,0.0,0.0,0.0,15703.44,16870.38,10428.7,32502.57,33604.42,32859.61,33633.56,33861.22,33267.25,32914.92,17023.02,7569.1,30208.98,30781.690000000002,29945.329999999998,16031.970000000001,0.0
Gil Vicente,17140.91,34597.34,34397.49,35289.76,35679.47,35798.24,19327.0,0.0,0.0,0.0,0.0,16493.55,36112.75,35127.84,33923.28,18046.7,0.0,0.0,0.0,16741.97,34136.56,34780.7,36121.29,35233.520000000004,34660.21,7269.280000000001
Gillingham,15554.0,35021.42,35100.87,34516.58,33447.49,18355.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giresunspor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15662.14,32734.31,17851.55,0.0,0.0
Girona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18550.27,36324.56,35905.4,36499.04,37199.88,38000.92,37720.64,39166.46,39284.9,39273.6,40118.64,39257.35,37747.9,37683.04,38347.58,40135.1,42567.38,8520.28
Gloria Buzau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16194.07,31376.82,15922.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14760.45,12950.13,5900.04
Go Ahead Eagles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15799.04,32087.43,19579.73,15555.82,16705.38,0.0,0.0,0.0,16032.64,33510.92,34386.55,34988.69,7544.12
Goeteborg,17817.19,36037.26,34469.19,33123.1,34155.61,34856.270000000004,34182.38,33410.07,35277.96,35262.8,34520.84,33052.08,32524.64,33420.39,34372.69,35947.14,35876.92,34189.79,32577.26,32479.16,32451.920000000002,32164.01,33037.97,32123.14,31532.07,6673.38
Gornik,16747.69,33342.03,34088.17,35431.22,34434.33,32104.77,30099.67,29206.35,29802.28,16205.87,15148.210000000001,31502.81,32956.909999999996,32989.83,32089.09,31708.63,17150.29,15840.960000000001,31626.06,30919.53,31843.86,31745.04,32030.37,32729.4,33902.17,7188.23
Gornik Leczna,0.0,0.0,0.0,16547.53,32300.25,31849.71,30859.0,15952.11,0.0,0.0,0.0,0.0,0.0,0.0,15721.08,31908.58,31022.739999999998,16564.98,0.0,0.0,0.0,14597.650000000001,16049.83,0.0,0.0,0.0
Goztep,1264.1,15902.5,32413.9,17556.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16889.4,34729.31,33587.08,33652.72,32956.520000000004,17185.62,0.0,14932.97,6996.8099999999995
Graafschap,17047.79,33264.26,34552.79,18264.67,14838.77,17401.95,0.0,15898.36,31340.7,17091.97,16218.81,33454.1,17758.15,0.0,0.0,11594.15,16926.93,0.0,15253.02,16888.13,0.0,0.0,0.0,0.0,0.0,0.0
Granada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17324.14,37484.6,39225.5,39786.4,39965.58,39488.69,39718.06,37811.38,37212.19,38645.65,40686.65,40236.61,39200.2,38453.78,37002.27,7720.98
Granada 74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18332.28,19946.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grenoble,0.0,16899.4,34017.38,34356.87,35544.47,35792.38,35890.22,36523.7,36824.11,37395.2,36415.37,18623.149999999998,0.0,0.0,0.0,0.0,0.0,0.0,16805.73,33119.65,33310.35,34138.67,33453.91,33545.02,33695.3,7011.02
Gretna,0.0,0.0,0.0,0.0,0.0,0.0,13089.39,28702.84,15978.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greuther Furth,18172.07,37573.57,38707.32,37848.45,36484.18,36459.07,35943.91,36352.5,36145.4,36377.52,36165.09,38045.95,39268.090000000004,38238.63,37546.95,35320.83,34665.92,34403.88,34099.76,33975.33,35264.41,36823.92,35944.23,35489.9,35402.3,7046.77
Grimsby,16819.54,33936.29,33575.86,17849.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
