club,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Almeria,0.0,0.0,17931.46,36909.04,37356.09,36749.659999999996,38172.05,40378.05,41731.81,40685.86,39816.07,38898.13,39532.33,39417.39,40041.33,39009.05,37473.12,36482.92,35899.06,36999.66,37595.19,38220.42,38793.57,38358.74,37137.22,7870.52
Altach,0.0,0.0,0.0,0.0,0.0,0.0,14891.67,31997.16,30935.739999999998,16467.76,0.0,0.0,0.0,0.0,16272.880000000001,34602.57,35131.27,35646.24,34273.04,34094.64,34080.78,33086.69,32359.47,31591.73,31469.99,6385.49
Altay,1353.97,0.0,15483.61,17245.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15871.12,16965.74,0.0,0.0,0.0
Alverca,16614.46,34176.04,17959.38,16810.61,18259.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alzano,1473.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amica Wronki,17707.75,35361.43,36055.17,36695.16,36673.45,33968.88,18089.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amiens,1414.93,17294.18,34316.24,34920.31,35901.78,35684.22,35368.42,36308.76,35388.98,19114.079999999998,0.0,15680.52,17775.48,0.0,0.0,0.0,16461.36,34942.43,36202.02,36050.76,35516.13,33661.659999999996,33982.56,32739.52,33864.16,6969.27
Amkar Perm,0.0,0.0,0.0,0.0,32320.5,34192.92,34887.23,35561.04,37092.1,37237.8,36366.14,36415.79,36389.33,36349.31,36621.83,36326.18,36841.95,36663.44,19734.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amorebieta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17334.51,18802.5,17016.85,18395.02,0.0
Ancona,16281.32,35582.11,35427.2,36946.18,18917.1,0.0,0.0,0.0,17348.23,34424.45,18834.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anderlecht,20108.03,41245.47,39661.22,40766.4,41390.48,40062.38,39375.92,39336.11,38645.23,39396.69,41569.68,39730.5,40761.49,39998.47,38232.49,38490.76,39091.97,40238.38,37830.0,36091.64,36729.75,36605.43,37179.26,37562.19,39487.89,8132.31
Andorra CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17437.66,35789.65,18870.82,0.0
Angers,15499.19,18131.08,0.0,16766.48,34863.83,19000.63,0.0,16853.4,34802.99,35561.58,35790.17,35887.04,35476.87,36247.47,35148.13,36286.01,37365.2,37683.51,37123.33,37537.55,37786.77,37294.07,36792.24,34605.65,35562.88,7643.55
Ankaraguecue,16712.73,34659.76,35297.06,35240.47,35954.83,34578.15,34247.98,34604.09,34784.29,34514.18,34885.1,34231.51,17071.65,0.0,0.0,0.0,0.0,0.0,16594.77,32674.02,31707.47,17205.43,16042.44,33345.53,18105.33,0.0
Ankaraspor,0.0,0.0,0.0,0.0,15468.58,34754.32,34728.63,35391.88,36120.5,19379.09,0.0,0.0,0.0,0.0,0.0,17014.04,35862.700000000004,35228.159999999996,18659.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annecy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15855.5,32275.96,33521.18,7176.53
Antalyaspor,16702.57,32613.9,17596.03,0.0,0.0,0.0,15136.22,18278.81,16608.4,34145.340000000004,35347.15,34719.06,34982.72,35741.39,19086.94,17005.39,34360.61,35950.04,34958.43,33584.19,33225.62,32942.04,34348.96,34681.66,33860.15,6835.22
Antwerp,14541.08,33047.73,32791.01,32989.14,17482.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16553.78,34233.94,35872.39,37126.299999999996,36714.46,36708.31,38600.76,38388.67,7899.49
