club,elo_sum,rank
Hacettepespor,69077.74,716
A. Sebatspor,69072.4,717
Orduspor,69025.55,718
Stockport,68797.53,719
Den Bosch,68626.5,720
Foggia,68511.93,721
Salgueiros,68214.53,722
Molenbeek,67912.01,723
Varzim,67805.67,724
Tambov,67756.49,725
Libourne,67497.81,726
Burton,67421.01,727
Erzurum BB,67382.2,728
Altay,66919.97,729
Stomil,66880.11,730
Essen,66805.37,731
Lustenau,66685.44,732
Ethnikos Asteras,66624.31,733
Yozgatspor,66434.61,734
CZ Jena,66425.9,735
KSZO,66340.25,736
Proodeftiki,66285.4,737
Giresunspor,66248.0,738
Paniliakos,65997.35,739
Sakaryaspor,65662.35,740
Sokol Saratov,65304.95,741
Aalst,65233.88,742
Chambly,64997.93,743
Vestsjaelland,64339.97,744
Seraing,63978.11,745
Jiul Petrosani,63825.07,746
HB Koge,62399.4,747
Joenkoeping,62093.38,748
Zawisza,61691.1,749
Miedz Legnica,61619.02,750
Eskilstuna,61182.08,751
Ranheim,60833.74,752
Sosnowiec,60447.85,753
Ulm,59762.71,754
Allianssi,58907.61,755
Eldense,58786.81,756
Plymouth,58282.0,757
Gretna,57770.56,758
Elversberg,57622.67,759
Almere City,56413.75,760
BW Linz,54363.44,761
Puszcza Niepolomice,53585.92,762
Jokerit,47018.18,763
Granada 74,38278.53,764
Volou,38110.94,765
Algeciras,37829.2,766
KFUM Oslo,37705.55,767
Ath Bilbao B,37356.73,768
Real Union,37245.79,769
UCAM Murcia,37230.57,770
Tosno,37164.85,771
Alicante,37146.99,772
Leonesa,36661.16,773
Rayo Majadahonda,36481.82,774
Khabarovsk,36303.12,775
Pontevedra,35967.44,776
Cannes,35949.89,777
Trofense,35915.0,778
Sociedad B,35896.78,779
Schweinfurt,35794.35,780
Vecindario,35790.9,781
Yenisey,35513.03,782
Tranmere,35440.77,783
Novosibirsk,35434.65,784
Alcoyano,35421.06,785
Babelsberg,35320.42,786
Lommel,35308.06,787
Besancon,35169.14,788
U.Las Palmas,35102.59,789
Balikesirspor,34948.36,790
Radzionkow,34748.83,791
Uniao Madeira,34708.86,792
Yeovil,34648.06,793
Gallipoli,34645.11,794
Chemnitz,34395.37,795
Jaworzno,34281.76,796
Portogruaro,34263.86,797
Bucaspor,34225.54,798
Vaesteras,34144.75,799
Campomaiorense,34048.57,800
Heusden Zolder,33976.88,801
Milton Keynes Dons,33939.22,802
Feralpisalo,33915.4,803
Radomsko,33909.48,804
Baltika,33897.05,805
Kalamata,33793.99,806
Sete,33786.46,807
Dordrecht,33727.25,808
Beziers,33718.99,809
Harelbeke,33648.75,810
Southend,33614.56,811
Erfurt,33532.94,812
Lecco,33522.18,813
Umraniyespor,33444.12,814
Alessandria,33422.48,815
Turnu Severin,33353.73,816
Polkowice,33353.58,817
Mazowiecki,33275.05,818
Siegen,33140.18,819
Pendikspor,33075.02,820
CA Bastia,32990.07,821
Erzurumspor,32919.83,822
Hvidovre,32909.72,823
Sageata,32888.17,824
Koge,32799.6,825
Concarneau,32796.15,826
Curtea de Arges,32255.9,827
Torpedo Metallurg ZIL,32195.94,828
Vendsyssel,32143.56,829
Branesti,31977.11,830
Niki Volos,31963.3,831
Tubize,31914.84,832
Enkoeping,31882.04,833
Thrasyvoulos,31839.35,834
Nocerina,31777.52,835
Dunarea Calarasi,31645.66,836
Corona Brasov,31641.65,837
Frem,31611.27,838
Gubbio,31610.03,839
Kongsvinger,31572.7,840
Sandecja Nowy Sacz,31568.15,841
Otopeni,31557.85,842
Ljungskile,31506.08,843
Helsingor,31408.16,844
Queen of Sth,31372.4,845
Rocar Bucuresti,31220.26,846
Siirt Jet-PA,31190.57,847
Juventus Bucuresti,31169.47,848
Assyriska,31087.33,849
Dalkurd,30975.85,850
Vointa Sibiu,30715.59,851
Jerv,30537.52,852
Athinaikos,30352.62,853
Logrones,30242.52,854
Jyvaeskylae,30130.39,855
Crisul Oradea,29912.53,856
Kifisias,29762.45,857
Foresta Suceava,28307.25,858
UM Timisoara,28223.25,859
Wycombe,27380.12,860
Doxa Dramas,26760.0,861
Carrarese,22736.97,862
Oxford,22511.34,863
AVS,22286.61,864
Preussen Munster,22125.39,865
Eyupspor,21992.68,866
Akron Togliatti,21300.66,867
Motor Lublin,21076.44,868
Bodrumspor,21072.52,869
Dynamo Makhachkala,21049.99,870
Corvinul Hunedoara,19271.83,871
Unirea Slobozia,19149.43,872
Vaestra,17240.19,873
Lok Nizhny,16698.93,874
Hodd,15690.4,875
Nott'm Forest,8888.41,876
M'gladbach,8261.13,877
Merida,1628.57,878
Atletico B,1562.54,879
Toledo,1518.64,880
Alzano,1473.8,881
Fortuna Koeln,1450.42,882
TeBe,1447.79,883
Fermana,1428.63,884
Savoia,1426.38,885
Port Vale,1378.04,886
Swindon,1368.68,887
Maastricht,1364.36,888
Cuiseaux-Louhans,1343.14,889
Geel,1337.89,890
Vanspor,1238.93,891
Trikala,1227.3,892
Resita,1178.05,893
Onesti,1160.16,894
Extensiv Craiova,1094.72,895
